Nome,Idade,Salario,Departamento
Pessoa 1,25,3000,RH
Pessoa 2,26,3100,TI
Pessoa 3,27,3200,Financeiro
Pessoa 4,28,3300,Marketing
Pessoa 5,29,3400,Vendas
Pessoa 6,30,3500,RH
Pessoa 7,31,3600,TI
Pessoa 8,32,3700,Financeiro
Pessoa 9,33,3800,Marketing
Pessoa 10,34,3900,Vendas
Pessoa 11,25,4000,RH
Pessoa 12,26,4100,TI
Pessoa 13,27,4200,Financeiro
Pessoa 14,28,4300,Marketing
Pessoa 15,29,4400,Vendas
Pessoa 16,30,4500,RH
Pessoa 17,31,4600,TI
Pessoa 18,32,4700,Financeiro
Pessoa 19,33,4800,Marketing
Pessoa 20,34,4900,Vendas
Pessoa 21,25,5000,RH
Pessoa 22,26,5100,TI
Pessoa 23,27,5200,Financeiro
Pessoa 24,28,5300,Marketing
Pessoa 25,29,5400,Vendas
